Starting iterations...
steps: 3749975, episodes: 150000, mean episode reward: 50.41427977762956, time: 113.384
steps: 3774975, episodes: 151000, mean episode reward: 52.97977147650799, time: 113.208
steps: 3799975, episodes: 152000, mean episode reward: 48.527430693818445, time: 113.428
steps: 3824975, episodes: 153000, mean episode reward: 49.35571735150204, time: 114.08
steps: 3849975, episodes: 154000, mean episode reward: 36.896806009822704, time: 112.901
steps: 3874975, episodes: 155000, mean episode reward: 32.639297115931, time: 113.566
steps: 3899975, episodes: 156000, mean episode reward: 46.113417471482634, time: 113.03
steps: 3924975, episodes: 157000, mean episode reward: 61.28329160370881, time: 114.302
steps: 3949975, episodes: 158000, mean episode reward: 64.43005326783206, time: 112.342
steps: 3974975, episodes: 159000, mean episode reward: 61.32315617077136, time: 113.871
steps: 3999975, episodes: 160000, mean episode reward: 66.84958781888292, time: 112.651
steps: 4024975, episodes: 161000, mean episode reward: 59.250919505901344, time: 114.301
steps: 4049975, episodes: 162000, mean episode reward: 50.66153197064924, time: 113.808
steps: 4074975, episodes: 163000, mean episode reward: 47.07079023621552, time: 114.42
steps: 4099975, episodes: 164000, mean episode reward: 49.81195774190452, time: 113.745
steps: 4124975, episodes: 165000, mean episode reward: 51.85969650564045, time: 113.959
steps: 4149975, episodes: 166000, mean episode reward: 50.171728340319696, time: 114.29
steps: 4174975, episodes: 167000, mean episode reward: 58.118803805605786, time: 113.761
steps: 4199975, episodes: 168000, mean episode reward: 63.60057225079398, time: 113.425
steps: 4224975, episodes: 169000, mean episode reward: 58.9751990608451, time: 112.625
steps: 4249975, episodes: 170000, mean episode reward: 60.12079990687351, time: 113.256
steps: 4274975, episodes: 171000, mean episode reward: 64.75080609336148, time: 113.66
steps: 4299975, episodes: 172000, mean episode reward: 68.29145866178938, time: 113.658
steps: 4324975, episodes: 173000, mean episode reward: 72.75371290187171, time: 114.316
steps: 4349975, episodes: 174000, mean episode reward: 61.7070414226494, time: 113.385
steps: 4374975, episodes: 175000, mean episode reward: 46.63079097215619, time: 113.906
steps: 4399975, episodes: 176000, mean episode reward: 36.05628604181749, time: 113.912
steps: 4424975, episodes: 177000, mean episode reward: 22.769400117431914, time: 113.7
steps: 4449975, episodes: 178000, mean episode reward: 20.215975752042834, time: 114.386
steps: 4474975, episodes: 179000, mean episode reward: 57.928355931230136, time: 114.051
steps: 4499975, episodes: 180000, mean episode reward: 84.10666655292516, time: 113.782
steps: 4524975, episodes: 181000, mean episode reward: 97.24579414488011, time: 113.858
steps: 4549975, episodes: 182000, mean episode reward: 82.05752499553351, time: 113.372
steps: 4574975, episodes: 183000, mean episode reward: 66.95447622910156, time: 113.252
steps: 4599975, episodes: 184000, mean episode reward: 64.28902183652662, time: 113.442
steps: 4624975, episodes: 185000, mean episode reward: 58.60611023355381, time: 112.901
steps: 4649975, episodes: 186000, mean episode reward: 58.852537373193755, time: 114.259
steps: 4674975, episodes: 187000, mean episode reward: 55.86319698222635, time: 113.539
steps: 4699975, episodes: 188000, mean episode reward: 51.45982418601695, time: 113.061
steps: 4724975, episodes: 189000, mean episode reward: 45.98964204672955, time: 114.077
steps: 4749975, episodes: 190000, mean episode reward: 34.89661001262144, time: 113.506
steps: 4774975, episodes: 191000, mean episode reward: 32.54596583359396, time: 113.802
steps: 4799975, episodes: 192000, mean episode reward: 43.89923288113008, time: 114.18
steps: 4824975, episodes: 193000, mean episode reward: 45.101623339473456, time: 114.696
steps: 4849975, episodes: 194000, mean episode reward: 51.390073637006424, time: 113.864
steps: 4874975, episodes: 195000, mean episode reward: 60.87587995955528, time: 112.98
steps: 4899975, episodes: 196000, mean episode reward: 63.53016433514651, time: 113.537
steps: 4924975, episodes: 197000, mean episode reward: 59.96671994606669, time: 113.125
steps: 4949975, episodes: 198000, mean episode reward: 58.86526359166766, time: 114.258
steps: 4974975, episodes: 199000, mean episode reward: 52.31966713483227, time: 113.97
steps: 4999975, episodes: 200000, mean episode reward: 53.24265045779552, time: 113.326
steps: 5024975, episodes: 201000, mean episode reward: 49.92408892857436, time: 113.946
steps: 5049975, episodes: 202000, mean episode reward: 45.8771179038229, time: 114.172
steps: 5074975, episodes: 203000, mean episode reward: 44.22311627254144, time: 114.917
steps: 5099975, episodes: 204000, mean episode reward: 53.25861931341947, time: 114.3
steps: 5124975, episodes: 205000, mean episode reward: 63.89160448643872, time: 113.272
steps: 5149975, episodes: 206000, mean episode reward: 62.07868705223253, time: 113.279
steps: 5174975, episodes: 207000, mean episode reward: 64.56420376527672, time: 114.196
steps: 5199975, episodes: 208000, mean episode reward: 57.13983859261542, time: 114.12
steps: 5224975, episodes: 209000, mean episode reward: 50.99937582801719, time: 114.477
steps: 5249975, episodes: 210000, mean episode reward: 54.02992211847608, time: 114.725
steps: 5274975, episodes: 211000, mean episode reward: 58.13865449147686, time: 114.368
steps: 5299975, episodes: 212000, mean episode reward: 55.37332329840083, time: 114.0
steps: 5324975, episodes: 213000, mean episode reward: 39.99730023342614, time: 113.653
steps: 5349975, episodes: 214000, mean episode reward: 49.34560213858712, time: 114.665
steps: 5374975, episodes: 215000, mean episode reward: 74.24549301081723, time: 113.605
steps: 5399975, episodes: 216000, mean episode reward: 71.95055383236596, time: 114.591
steps: 5424975, episodes: 217000, mean episode reward: 71.91431118166518, time: 114.121
steps: 5449975, episodes: 218000, mean episode reward: 69.2562892775616, time: 114.214
steps: 5474975, episodes: 219000, mean episode reward: 47.814010769990915, time: 113.683
steps: 5499975, episodes: 220000, mean episode reward: 34.253036486837495, time: 115.002
steps: 5524975, episodes: 221000, mean episode reward: 27.028924954398054, time: 114.217
steps: 5549975, episodes: 222000, mean episode reward: 31.62846874310864, time: 113.232
steps: 5574975, episodes: 223000, mean episode reward: 47.06477647085298, time: 114.767
steps: 5599975, episodes: 224000, mean episode reward: 37.84236162542136, time: 113.398
steps: 5624975, episodes: 225000, mean episode reward: 31.531083240542426, time: 114.71
steps: 5649975, episodes: 226000, mean episode reward: 35.00370306573669, time: 114.765
steps: 5674975, episodes: 227000, mean episode reward: 45.526495924392975, time: 114.263
steps: 5699975, episodes: 228000, mean episode reward: 47.47407798944997, time: 113.919
steps: 5724975, episodes: 229000, mean episode reward: 44.44774130915168, time: 114.539
steps: 5749975, episodes: 230000, mean episode reward: 49.98875400002146, time: 113.823
steps: 5774975, episodes: 231000, mean episode reward: 42.51150458535182, time: 114.771
steps: 5799975, episodes: 232000, mean episode reward: 42.75766042322963, time: 113.604
steps: 5824975, episodes: 233000, mean episode reward: 46.319971354139824, time: 114.099
steps: 5849975, episodes: 234000, mean episode reward: 52.07484715067757, time: 113.684
steps: 5874975, episodes: 235000, mean episode reward: 51.50905783286383, time: 115.301
steps: 5899975, episodes: 236000, mean episode reward: 52.561503905381265, time: 114.085
steps: 5924975, episodes: 237000, mean episode reward: 56.73937798686285, time: 113.467
steps: 5949975, episodes: 238000, mean episode reward: 55.76370512143419, time: 114.25
steps: 5974975, episodes: 239000, mean episode reward: 61.45465055444591, time: 113.102
steps: 5999975, episodes: 240000, mean episode reward: 53.570448456162936, time: 114.496
steps: 6024975, episodes: 241000, mean episode reward: 45.613322353917205, time: 114.926
steps: 6049975, episodes: 242000, mean episode reward: 36.1828951318193, time: 113.849
steps: 6074975, episodes: 243000, mean episode reward: 35.98055879894021, time: 113.974
steps: 6099975, episodes: 244000, mean episode reward: 43.83864055627842, time: 114.525
steps: 6124975, episodes: 245000, mean episode reward: 50.40516408015633, time: 113.803
